Keys, Test, isWrite, Latency, Throughput
10k, 1, 1, 0.639156, 1564.56
10k, 1, 0, 0.297764, 3358.56
10k, 2, 0, 0.302209, 3308.97
10k, 3, 1, 0.564544, 1771.34
10k, 3, 0, 0.382053, 2617.43
50k, 1, 1, 0.665567, 1502.48
50k, 1, 0, 0.293152, 3411.19
50k, 2, 0, 0.292134, 3423.09
50k, 3, 1, 0.540774, 1849.2
50k, 3, 0, 0.363957, 2747.57
100k, 1, 1, 0.64904, 1540.73
100k, 1, 0, 0.287254, 3481.24
100k, 2, 0, 0.288399, 3467.42
100k, 3, 1, 0.531976, 1879.78
100k, 3, 0, 0.356864, 2802.19
200k, 1, 1, 0.649989, 1538.49
200k, 1, 0, 0.292387, 3420.12
200k, 2, 0, 0.300409, 3328.79
200k, 3, 1, 0.543736, 1839.13
200k, 3, 0, 0.35917, 2784.2